"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"15","Greg Dortch","2023",24,1,1010000,1010000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",11,"ARI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,7,44,0,0,0,3,1.96789370360784,0,52,64,467,2,0,0,316,293,19,12.0618982991102,0,1.47784810126582,0.145003809362019,0.0974033902456977,0.285688087215017,0,63.1,115.1
"16","Ihmir Smith-Marsette","2023",23,1,940000,940000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",3,"CHI",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1,-1,0,0,0,0,-0.903047465195414,0,1,4,15,0,1,1,28,5,0,-8.02509383502183,0,0.535714285714286,0.0612332112332112,0.0466575679725969,0.124510114430635,0,-0.6,0.4
"17","Isaiah Hodgins","2023",24,1,870000,870000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",11,"NYG",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,46,59,500,5,1,1,529,123,28,15.233089312679,1,0.945179584120983,0.172008035310859,0.253658738468008,0.435573169893894,0,80,126
"18","Isaiah McKenzie","2023",27,1,1232500,1232500,152500,402500,402500,"2023-2023 (FA: 2024)","WR",16,"BUF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,9,55,1,0,0,3,2.85099585144781,0,44,67,433,4,0,0,558,144,27,11.3997153015529,0,0.775985663082437,0.116327625633137,0.109081342024865,0.250848377867112,0,78.8,122.8
"19","Jakobi Meyers","2023",26,3,3.3e+07,1.1e+07,5500000,10500000,2.1e+07,"2023-2025 (FA: 2026)","WR",14,"NE",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,2,9,0,0,0,2,1.03889269684441,0,67,96,804,6,1,1,950,238,38,36.9391440560107,1,0.846315789473684,0.224787363891679,0.292489832276539,0.541923928431096,0,117.3,184.3
"20","Jalen Guyton","2023",25,1,1232500,1232500,76000,76000,76000,"2023-2023 (FA: 2024)","WR",2,"LAC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,2,4,64,0,0,0,115,7,2,4.26403268127769,0,0.556521739130435,0.0512912482065997,0.184216301895995,0.205888283637096,0,6.4,8.4
"21","Jamison Crowder","2023",29,1,1165000,1165000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",4,"BUF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,6,13,60,0,0,0,121,30,4,-1.09648315241793,0,0.495867768595041,0.0876482367793663,0.11098162156319,0.209159490263283,0,6,12
"22","Jauan Jennings","2023",25,1,940000,940000,NA,NA,NA,"2023-2023 (FA: 2024)","WR",18,"SF",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,39,63,483,1,1,0,575,191,27,19.2138391494437,0,0.84,0.121209671759183,0.155094236414765,0.29038047312911,0,54.3,93.3
"23","Josh Ali","2023",23,2,1665000,832500,NA,NA,NA,"2023-2024 (FA: 2025)","WR",1,"ATL",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,45,0,0,-0.519019901752472,0,0,0.0357142857142857,0.137614678899083,0.149901703800786,0,0,0
"24","JuJu Smith-Schuster","2023",26,3,25500000,8500000,7900000,1.6e+07,1.6e+07,"2023-2025 (FA: 2026)","WR",19,"KC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,88,113,1022,3,3,2,828,485,54,53.4907916778583,0,1.23429951690821,0.166786806911037,0.17239269560199,0.370855097287949,0,116.2,204.2
"25","Justin Watson","2023",28,2,3400000,1700000,150000,1380000,1380000,"2023-2024 (FA: 2025)","WR",19,"KC",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,0,18,37,345,2,0,0,666,61,15,11.164800457714,0,0.518018018018018,0.0568279611220712,0.138146183578068,0.181944270187754,0,46.5,64.5
"26","Kalif Raymond","2023",29,2,10500000,5250000,3e+06,8150000,8150000,"2023-2025 (FA: 2026)","WR",16,"DET",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,7,36,0,0,0,4,2.29914031043882,0,47,64,616,0,1,1,638,218,24,21.0215312392559,0,0.96551724137931,0.128924394720172,0.174867566626762,0.315793888718992,1,69.2,116.2
