"","name","start_year","age","years","value","aav","sign_bonus","gtd","prac_gtd","length","position.y","games","recent_team","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"16","Geno Smith","2023",32,3,7.5e+07,2.5e+07,NA,27300000,4e+07,"2023-2025 (FA: 2026)","QB",18,"SEA",424,607,4535,32,12,49,373,6,3,4651,1853,220,32.5334669896603,0,0.975059127069447,0.11778834941004,72,394,1,3,2,26,2.59000463308992,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,320.8,320.8
"17","Jacoby Brissett","2023",30,1,8e+06,8e+06,4500000,7500000,7500000,"2023-2023 (FA: 2024)","QB",14,"CLE",236,369,2608,12,6,24,160,5,3,3154,1095,129,19.6926323235028,0,0.826886493341788,0.104568863009681,49,243,2,1,1,28,19.8364092626725,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,168.62,168.62
"18","Jalen Hurts","2023",24,5,2.55e+08,5.1e+07,23294000,1.1e+08,179399000,"2023-2028 (FA: 2029)","QB",18,"PHI",365,547,4280,25,6,42,239,5,2,4525,2022,190,90.343727208138,0,0.94585635359116,0.145820327903463,200,903,18,6,1,84,54.1358817838839,3,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,457.5,457.5
"19","Jameis Winston","2023",29,1,4e+06,4e+06,2835000,4e+06,4e+06,"2023-2023 (FA: 2024)","QB",3,"NO",73,115,858,4,5,11,74,1,0,1319,202,35,-7.01292297735435,1,0.65049279757392,0.0545009286381026,5,16,0,2,0,0,-3.21933071827516,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,43.92,43.92
"20","Jarrett Stidham","2023",26,2,1e+07,5e+06,2e+06,5e+06,5e+06,"2023-2024 (FA: 2025)","QB",3,"LV",53,83,656,4,3,7,47,2,1,763,261,32,-5.13012409190855,0,0.859764089121887,0.0749728588442779,14,84,0,1,0,7,4.8247253955924,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,42.64,42.64
"21","Jimmy Garoppolo","2023",31,3,72750000,24250000,NA,33750000,4.5e+07,"2023-2025 (FA: 2026)","QB",11,"SF",207,308,2437,16,4,18,100,1,1,2114,1447,114,75.5064205218911,0,1.15279091769158,0.130245436814642,23,33,2,1,1,11,-3.06639207761643,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,164.78,164.78
"22","Joe Burrow","2023",26,5,2.75e+08,5.5e+07,4e+07,146510000,219010000,"2023-2029 (FA: 2030)","QB",19,"CIN",486,715,5196,39,14,51,319,6,3,4868,2497,255,102.902939841739,4,1.06737880032868,0.126898109403343,90,327,6,0,0,33,6.83624810320907,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,406.54,406.54
"23","Jordan Love","2023",24,1,13500000,13500000,9800000,1.3e+07,1.3e+07,"2023-2024 (FA: 2025)","QB",4,"GB",14,21,195,1,0,0,0,0,0,151,117,9,3.53085999692742,0,1.29139072847682,0.105912243512747,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,11.7,11.7
"24","Josh Johnson","2023",37,1,1317500,1317500,152500,152500,152500,"2023-2023 (FA: 2024)","QB",2,"SF",8,15,84,0,0,2,14,0,0,69,56,4,-2.86141612060601,0,1.21739130434783,-0.0149471355590696,4,5,0,1,1,1,-8.20649826026056,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,1.86,1.86
"25","Joshua Dobbs","2023",28,1,2e+06,2e+06,5e+05,2e+06,2e+06,"2023-2023 (FA: 2024)","QB",2,"TEN",40,68,411,2,2,6,26,4,2,525,213,25,-8.9746365388331,0,0.782857142857143,0.0213308755467733,8,44,0,0,0,4,1.7875308629591,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,20.84,20.84
